	utterance	topics
8631	No, I'm not very athletic.	(hobby,no)|(outdoor sport,no)|(skiing,no)
7779	Sure thing, thanks. Gotta run for now, though. Talk to you later.	(goodbye,yes)
10769	That's just a waste of time. I would rather spend my time doing something productive.	(books,yes)|(book genre,no)
6292	No, I haven't. Honestly, I'm not really interested in hearing about that kind of stuff right now.	(local news,no)
10032	Eh, I'm not really in the mood for Italian food right now.	(food,no)|(Italian restaurant,no)
9857	I mostly just read or play video games.	(free time,yes)|(activity,unknown)
12670	No, I haven't but it sounds intriguing.	(books,yes)
5669	Nope. I’ve been swamped with work lately.	(video game,no)
11119	Not really, I'm more of a podcast person.	(music,no)|(podcast,yes)
3021	I like Phoebe the most.	(TV show,yes)|(TV character,yes)|(Phoebe,yes)
10219	Not really, I'm not a great cook.	(food,yes)|(cooking,no)
11281	I like Italian food.	(food,yes)|(cuisine,yes)|(Italian,yes)
12610	No problem, see you later!	(farewell,yes)
2885	Yeah, I love playing Halo and Skyrim.	(entertainment,yes)|(favorite video games,yes)
12432	No, I haven't.	(book,yes)|(book title,no)|(The Midnight Library,no)
672	Oh, okay. Well, it was nice chatting with you, but I have to run. See you later.	(goodbye,yes)
6795	You too, thanks.	(farewell,yes)
6570	I went on one last year, but it wasn't all that great.	(vacation,no)
9401	I don't really care for music all that much.	(music,no)
11799	Yes, I love going to concerts!	(music,yes)
9062	No, I'm not really into sports.	(sports,no)
5199	I just find it really cheesy and overrated.	(movie,yes)|(The Notebook,unknown)
6290	Not really, I'm more into podcasts and audiobooks lately.	(music,no)
2740	To be honest, I find classic rock kind of outdated.	(music,no)|(classic rock,no)
357	No, I don't have a Switch yet. Are they good?	(video games,yes)|(Switch,unknown)
182	It really was. Alright, I have to run some errands now. Good talking to you.	(boring,no)
2849	Mostly non-fiction, like science or history.	(book,yes)|(non-fiction,yes)
497	Not really, I don't care that much about movies.	(movie,no)
10395	It was fine.	(weekend,yes)
11471	No, I didn't get a chance to watch it yet.	(movie,unknown)
12497	Probably Star Wars.	(movie,yes)|(Star Wars,yes)
11640	I really enjoy biographies and historical non-fiction.	(books,yes)|(book genre,yes)|(historical non-fiction,yes)
3850	Just some sitcoms and dramas. Nothing too exciting.	(entertainment,no)
8915	Okay, sounds interesting. What else have you been up to lately?	(general,yes)
12915	Not really, to be honest. I mostly just work and watch stuff.	(hobby,no)
3308	No, I haven't watched any movies recently.	(movies,yes)|(recent movies,no)
6607	No, and to be honest, I'm not really interested in seeing it.	(movie,yes)|(Star Wars,no)
13219	No, I find them kind of boring.	(music,yes)|(concerts,no)
4324	No, not really. It's too much work for not enough payoff.	(hobby,no)|(hiking,no)
8301	No, I haven't.	(travel,yes)|(food,unknown)|(Ethiopian food,no)
6760	Not really. I just listen to whatever's on the charts.	(music,yes)|(favorite artist,no)
4447	I'm really into elevator music. It's so chill and relaxing.	(music,no)|(elevator music,no)
2703	Not really.	(hobby,no)
2951	I don't know, maybe Europe or Asia. I've never been to either of those places.	(travel,yes)|(destination,yes)
4731	To be honest, I'm not interested in politics at all.	(current events,yes)|(politics,no)
7921	Just a couple of cats, nothing too exciting.	(hobbies,yes)|(cats,yes)
815	No, I don't have any. I'm actually allergic to animals.	(pets,no)
8200	Honestly, not really. I mostly just listen to whatever's on the radio.	(music,no)
1616	I'm big on reading. I just finished a really good book.	(activity,yes)|(reading,unknown)|(book recommendation,unknown)
11760	Yeah, I really like Indian food.	(restaurant,yes)|(cuisine,yes)|(Indian food,yes)
274	No, thanks. But speaking of help, have you heard of that new task manager app?	(app,no)|(task manager,no)
12552	Not really, I'm planning to just stay home and relax.	(weekend plans,no)|(stay home and relax,no)
10332	Not really, I don't follow any sports regularly.	(sports,no)
5172	No, I'm not really into sports either.	(sports,no)
861	Yeah, it was nice chatting. Talk to you soon.	(goodbye,yes)
5108	No, what's it called?	(video game,yes)|(new release,yes)
1581	Oh, I like playing video games or reading.	(hobby,yes)|(reading,unknown)
4249	Ugh, don't remind me. It's been a really long day.	(work,no)
12041	I really liked Italy. The food there is amazing.	(travel,yes)|(favorite country,yes)|(Italy,yes)
7544	Nice, that sounds really relaxing. How long have you been doing yoga?	(hobby,yes)|(yoga,yes)
5656	"Have you ever played ""The Witcher""?"	(video game,yes)|(recommendation,yes)|(The Witcher,yes)
5042	Actually no, I don't really read that much.	(books,no)
2909	"Well, I love watching TV shows. I just finished binge-watching ""Breaking Bad"" again."	(TV show,yes)|(Breaking Bad,yes)
10642	No, I've just been sticking to my usual spots.	(restaurants,no)|(new restaurants,no)
1943	Just some basic stuff like bread and milk. Nothing exciting.	(grocery shopping,no)
6619	Not really. I'm a very picky eater.	(food,no)
11735	I like making homemade pasta from scratch.	(cooking,yes)|(dish,yes)|(homemade pasta,yes)
937	Yeah, I enjoy playing basketball. It's a fun way to stay active.	(sports,yes)|(basketball,yes)
7619	No, not really. I've just been listening to the same old stuff.	(music,no)
3838	Definitely savory.	(food,yes)|(flavor,yes)|(savory,yes)
12040	Yeah, I've been to a few countries in Europe.	(travel,yes)|(Europe,yes)
6913	No, I can't stand it. Everything's so fake.	(television,yes)|(reality TV,no)
1170	I'm not really into sports.	(sports,no)
7887	Yeah, I love movies. What's your favorite genre?	(movie,yes)|(movie genre,yes)
1397	It was okay.	(daily life,yes)|(day,unknown)
10240	No problem, happy to share. Well, I should probably get back to work now. Have a good day!	(work,no)
5622	Yeah, I tried this new sushi place down the street. It was really good.	(food,yes)|(restaurant,yes)|(sushi,yes)
11813	Sorry, but no.	(music,no)
11908	Not really, I find them pretty boring.	(video games,no)
7538	Hmm, that sounds interesting, I'll add it to my list.	(TV show,yes)
428	Sorry, I'm not interested in pizza. I'm on a low carb diet right now.	(food,yes)|(Italian food,yes)
10947	Yeah, it's tough to catch a break sometimes.	(general,yes)
8793	Good, just got off work.	(work,yes)
9065	Not really, I've been pretty busy at work.	(TV show,no)
5559	Nope, haven't really watched any movies worth recommending lately.	(movie,no)
9204	Honestly, I'm not really interested in politics. It's all just a big mess.	(politics,no)
10508	You too.	(farewell,yes)
2939	Well, I like to read books and watch movies. What about you?	(entertainment,yes)|(books,yes)
10069	Sorry, I'm not too interested in food these days.	(food,no)|(restaurant,no)
7005	Not really, I'm not a big concert person. I find the crowds overwhelming.	(music,yes)|(concert,no)
11245	Yeah, I love action movies. The recent James Bond movie was really good.	(movies,yes)|(James Bond,yes)|(movie genre,yes)
7737	Maybe, but I'm not too keen on that genre.	(TV series,no)
9681	Nope. Haven't played since I was a kid, to be honest.	(entertainment,no)|(video games,no)
4750	That sounds interesting.	(food,yes)|(vegetarian food,yes)
8196	Yeah, mostly work. It's been a bit overwhelming.	(work,no)
6415	Well, I think it's overrated. It's good, but not THAT good you know?	(TV shows,yes)
133	No, I'm not much of a book reader.	(books,no)
8512	Yeah, I'd be down for that. Let's plan it sometime.	(outdoor activities,yes)|(planning a camping trip,yes)
1375	Definitely! Have a good day!	(work,yes)
11586	Italian food is my absolute favorite!	(food,yes)|(cuisine,yes)|(Italian food,yes)
11895	The salmon nigiri was amazing. Have you tried it before?	(food,yes)|(sushi dish,yes)|(salmon nigiri,yes)
4954	Yes, I love traveling.	(traveling,yes)
4289	I do sometimes. I really like crime dramas.	(entertainment,yes)|(TV show,yes)|(crime drama,yes)
7499	I don't really read much to be honest, but I have heard of Stephen King.	(books,yes)|(author,yes)|(Stephen King,yes)
11004	That's cool. I'm not really a coffee person.	(coffee,no)
9183	I work at a marketing agency. It's not the most exciting job, but it pays the bills.	(work,no)
7866	Not really, I mostly read for school.	(book,no)
12187	It's been okay.	(general conversation,yes)
6588	I usually just catch up on some work or watch Netflix.	(weekends,no)
12600	Sorry, I'm not really in the mood to talk about movies anymore.	(movies,no)
8810	Not really. I'm not really a fan of sports.	(sport,yes)|(following sports,no)
5452	Yeah, I just started watching Stranger Things.	(TV shows,yes)|(Stranger Things,yes)
8327	Not really, I don't have much time for it.	(books,no)
9039	Not really. I can make some basic stuff, but I'm not very good at it.	(food,no)
11403	Yeah, there's just so much to choose from. Have you seen The Expanse?	(movie,yes)|(sci-fi,yes)|(The Expanse,yes)
8360	It's alright, but it can be a bit dull at times.	(work,no)
12992	Actually, yes, I just finished a really great novel last week.	(book,yes)
567	Not really. I'm not a big reader.	(books,no)
7056	Oh, kayaking is great. I've done it a few times before.	(outdoor activities,yes)|(kayaking,yes)
8112	Oh, that's too bad. Shockingly it's quite captivating.	(hobbies,yes)|(history,yes)
9303	Yeah, I'm really into indie films these days.	(movie,yes)|(film genre,yes)|(indie,yes)
4540	Nah, I didn't really have the time.	(sports,no)
4129	I mostly visited temples and ate tons of sushi.	"(travel,yes)|(activity,yes)|([""temples"", ""sushi""], yes)"
1377	Oh, I love Chinese food.	(restaurant,yes)|(Chinese food,yes)
5258	I guess so. Anyway, it was nice chatting with you, but I have to go now.	(goodbye,yes)
12951	Oh, I'm really into hiking and nature photography.	(hobby,yes)|(outdoor activities,yes)|(nature photography,yes)
12668	Honestly, I mostly just like to relax at home and watch TV or read a book.	(hobbies and interests,yes)|(relaxing,yes)
3521	I like to read or watch some TV shows. What about you?	(relaxation,yes)|(activity,yes)
7105	I really like going to Yosemite National Park. It's beautiful there.	(outdoors,yes)|(camping spot,yes)|(Yosemite National Park,yes)
2512	Yeah, maybe I will. But I'm not really keen on travelling during the pandemic.	(travel,no)
5728	I'm an accountant. It can be pretty dull sometimes.	(work,yes)|(job,yes)|(accountant,yes)
2601	"Yeah, I've been watching a show called ""Breaking Bad"" lately."	(TV Shows,yes)|(Breaking Bad,yes)
11716	Not really, I'm more of a homebody.	(travel,no)
7166	Oh, okay. Well, I should probably go do some work now. Talk to you later!	(work,no)
10907	Yeah, I really like Kendrick Lamar.	(music,yes)|(artist,yes)|(Kendrick Lamar,yes)
11933	It was okay, nothing special.	(weekend,no)
11037	I'm a huge fan of pasta. I usually go for something with a tomato-based sauce.	(restaurant,yes)|(Italian food preference,yes)
8462	Mostly just relax at home and watch TV.	(hobby,no)
26	Yeah, I know a lot of people who love it. To be honest, I've never even tried it before.	(food,no)|(sushi,no)
3880	Mostly football and basketball.	(sports,yes)
9010	Yeah, I just watched The Irishman last night.	(movie,yes)|(The Irishman,yes)
4090	Well, I enjoy hiking and spending time outdoors.	(hobbies,yes)|(outdoor activities,yes)|(hiking,yes)
4475	No, I'm allergic to animals.	(pets,no)
648	Mostly just hang out with friends, I guess.	(free time,yes)
10262	No, I haven't. What are they?	(travel,yes)
2564	Oh no. I'm kind of tired of hearing about that.	(current events,no)
3490	It was by Isaac Asimov. Have you read any of his work before?	(books,yes)|(authors,unknown)
4298	Mostly non-fiction, and biographies.	"(books,yes)|(book genre,yes)|([""non-fiction"", ""biographies""], yes)"
5536	Nice. Where do you usually go?	(outdoors,yes)|(hiking location,unknown)
3336	Not much. Just watched some Netflix.	(TV shows/Movies,yes)|(Netflix,yes)
3554	I'm currently binge-watching Friends.	(TV show,yes)|(TV show name,yes)|(Friends,yes)
6412	No, I don't like horror movies.	(movies,no)|(horror,no)
9903	Likewise!	(farewell,yes)
1922	Not really, they all kind of blur together after a while.	(entertainment,yes)|(Netflix genre,yes)|(recommendations,no)
12262	Yes, I love Italian cuisine.	(food,yes)|(cuisine,yes)|(Italian,yes)
849	Oh.	(entertainment,yes)|(movies,yes)|(romantic comedies,no)
12562	Oh, there's this trail up in the mountains that I absolutely love.	(hobbies,yes)|(outdoor activities,yes)|(favorite hiking trail,yes)
9413	Yes, I liked it a lot.	(series,yes)|(Stranger Things,yes)
9487	Definitely the food. It was incredible. Have you ever been to Italy?	(travel,yes)
13059	Yeah, I did. It's pretty concerning.	(news,yes)|(COVID strain,yes)
8930	Not really. I prefer to stay indoors most of the time.	(outdoor activities,no)
3898	Oh, I don't really watch movies, to be honest.	(movie,no)
11138	Not really, I've been busy with work.	(books,no)
11521	To be honest, I try not to think about politics too much these days. It just seems like one bad thing after another.	(politics,no)
7221	No, I'm not really into movies.	(movie,no)
13137	Not really, I'm not that into sports.	(sports,no)
8294	Yeah, I love traveling!	(travel,yes)
2674	No, I am not really into reading these days.	(books,no)
6675	Sounds fun, but I'm not really interested in traveling.	(travel,no)
6578	No, I haven't had a chance to see it yet.	(movie,yes)|(latest Marvel movie,no)
10094	I don't really remember the actors' names.	(movie,yes)|(movie actor,no)
